#Time	Channel A	Channel B
#(s)	(V)	(V)
#
-3.14062776	-0.00006104	-3.75530300
-3.13729376	-0.01843318	-3.75530300
-3.13395976	-0.00006104	-3.75530300
-3.13062576	-0.00006104	-3.75530300
-3.12729176	-0.00006104	-3.75530300
-3.12395776	-0.00006104	-3.75530300
-3.12062376	-0.01843318	-3.75530300
-3.11728976	-0.01843318	-3.75530300
-3.11395576	-0.01843318	-3.75530300
-3.11062176	-0.01843318	-3.80108000
-3.10728776	-0.01843318	-3.75530300
-3.10395376	-0.03680532	-3.75530300
-3.10061976	-0.01843318	-3.80108000
-3.09728576	-0.01843318	-3.75530300
-3.09395176	-0.00006104	-3.75530300
-3.09061776	-0.00006104	-3.75530300
-3.08728376	-0.01843318	-3.75530300
-3.08394976	-0.00006104	-3.80108000
-3.08061576	-0.00006104	-3.75530300
-3.07728176	-0.01843318	-3.75530300
-3.07394776	-0.00006104	-3.75530300
-3.07061376	-0.00006104	-3.80108000
-3.06727976	-0.01843318	-3.75530300
-3.06394576	-0.00006104	-3.75530300
-3.06061176	-0.00006104	-3.75530300
-3.05727776	-0.00006104	-3.75530300
-3.05394376	-0.00006104	-3.75530300
-3.05060976	-0.00006104	-3.80108000
-3.04727576	-0.00006104	-3.80108000
-3.04394176	-0.00006104	-3.75530300
-3.04060776	-0.00006104	-3.75530300
-3.03727376	-0.00006104	-3.75530300
-3.03393976	-0.00006104	-3.75530300
-3.03060576	-0.00006104	-3.75530300
-3.02727176	-0.00006104	-3.75530300
-3.02393776	-0.00006104	-3.75530300
-3.02060376	-0.00006104	-3.75530300
-3.01726976	-0.00006104	-3.75530300
-3.01393576	0.01831111	-3.75530300
-3.01060176	0.01831111	-3.75530300
-3.00726776	-0.00006104	-3.80108000
-3.00393376	0.01831111	-3.75530300
-3.00059976	-0.00006104	-3.75530300
-2.99726576	0.01831111	-3.75530300
-2.99393176	-0.00006104	-3.75530300
-2.99059776	-0.00006104	-3.80108000
-2.98726376	0.01831111	-3.75530300
-2.98392976	-0.00006104	-3.75530300
-2.98059576	-0.00006104	-3.75530300
-2.97726176	-0.00006104	-3.75530300
-2.97392776	-0.00006104	-3.75530300
-2.97059376	-0.00006104	-3.75530300
-2.96725976	-0.00006104	-3.80108000
-2.96392576	-0.00006104	-3.75530300
-2.96059176	-0.00006104	-3.75530300
-2.95725776	0.01831111	-3.75530300
-2.95392376	0.01831111	-3.75530300
-2.95058976	-0.00006104	-3.75530300
-2.94725576	-0.00006104	-3.75530300
-2.94392176	-0.00006104	-3.80108000
-2.94058776	-0.00006104	-3.75530300
-2.93725376	-0.00006104	-3.75530300
-2.93391976	0.01831111	-3.75530300
-2.93058576	-0.00006104	-3.75530300
-2.92725176	-0.00006104	-3.75530300
-2.92391776	-0.00006104	-3.75530300
-2.92058376	-0.00006104	-3.75530300
-2.91724976	-0.00006104	-3.75530300
-2.91391576	-0.00006104	-3.75530300
-2.91058176	0.01831111	-3.75530300
-2.90724776	-0.00006104	-3.75530300
-2.90391376	-0.00006104	-3.75530300
-2.90057976	0.01831111	-3.80108000
-2.89724576	0.01831111	-3.75530300
-2.89391176	0.01831111	-3.75530300
-2.89057776	-0.00006104	-3.80108000
-2.88724376	0.01831111	-3.80108000
-2.88390976	0.01831111	-3.75530300
-2.88057576	0.01831111	-3.80108000
-2.87724176	0.01831111	-3.75530300
-2.87390776	0.01831111	-3.75530300
-2.87057376	0.01831111	-3.75530300
-2.86723976	0.01831111	-3.75530300
-2.86390576	0.01831111	-3.75530300
-2.86057176	0.01831111	-3.75530300
-2.85723776	0.01831111	-3.75530300
-2.85390376	0.01831111	-3.75530300
